Jordan 10 Retro Steel (2005),33,80.0%,$239,310805-101,$125,2005-05-07,White/Black/Light Steel Grey/Varsity Red,$180 - $270
Jordan 6 Retro Midnight Navy,6,170.8%,$238,136038-141,$120,2000-10-04,White/Midnight Navy,$281 - $369
Jordan 6 Retro Defining Moments (DMP),27,237.8%,$548,136038-071,$148,2006-01-28,Black/Metallic Gold,$441 - $559
Jordan Trainer 1 Low Michigan,6,12.0%,$150,845403-420,$125,2016-08-08,College Navy/White-Amarillo,$110 - $170
Jordan 2 Retro Silver Anniversary,22,85.2%,$266,385475-101,$135,2010-02-27,White/Metallic Silver-Natural Grey,$209 - $291
"Jordan 1 Retro All Star 2017 ""Chameleon"" (GS)",64,-17.9%,$129,907959-015,$140,2017-02-19,Black/Black-Metallic Silver,$79 - $151
Jordan 8 Retro Black Chrome,16,140.7%,$264,305381-001,$135,2003-05-03,Black/Chrome,$281 - $369
Jordan 23 UNC,23,75.7%,$263,318376-041,$185,2008-11-28,Black/University Blue-White,$264 - $386
Jordan 11 Retro Low IE Black Varsity Red (2011),26,--,$246,306008-001,Black/Varsity,Red-White,--,$251 - $385
Jordan 12 Retro Gym Red,2334,5.3%,$275,130690-600,$190,2016-07-02,Gym Red/Black-White,$156 - $244
Jordan 11 Retro Space Jam (2000),9,180.0%,$433,136046-041,$125,2000-12-13,Black/Varsity Royal-White,$257 - $443
Jordan 12 OG Taxi (1997),9,144.4%,$307,130690-101,$135,1996-11-01,White/Black-Taxi,$296 - $364
"Jordan 7 Retro Championship Pack ""Champagne""",287,20.0%,$285,725093-140,$250,2015-06-20,White/Metallic Gold-Black,$241 - $359
Jordan 13 Retro Golf Cleat White Red,94,69.0%,$279,917719-101,$200,2017-05-19,White/University Red,$308 - $368
Jordan 5 Retro 3Lab5 Infrared,192,22.2%,$264,599581-010,$225,2013-12-31,Black/Infrared,$229 - $321
Jordan XXX1 Low Chicago (Home),3,-37.5%,$107,897564-101,$160,2017-06-30,White/University Red-Black-Pure Platinum,$91 - $109
Jordan 2 Retro Decon Mineral Gold,28,18.8%,$227,897521-707,$160,2017-05-24,Mineral Gold/Mineral Gold,$145 - $235
Jordan 1 Retro Black Toe (2016),3373,118.8%,$292,555088-125,$160,2016-11-05,White/Varsity Red/Black,$264 - $436
Nike Hypervenomx Proximo NJR TF Neymar x Jordan,12,-36.8%,$142,820134-006,$190,2016-06-01,Black/Metallic Silver-Light Crimson-White,$71 - $169
Jordan 11 Retro Playoffs CDP (2008),63,222.6%,$481,136046-062,$155,2008-12-20,Black/True Red-White,$466 - $534
